Postcode,SuburbName,MeanCrimes,SumCrimes,Latitude,Longitude
3070,Northcote,1869.8,9349,-37.7728157,145.0009469
3071,Thornbury,1215.2,6076,-37.7582744,145.0051501
3072,Preston,4950.0,24750,-37.7418658,145.0078205
3073,Reservoir,3795.0,18975,-37.7123767,145.0074935
3074,Thomastown,2161.4,10807,-37.6832672,145.0081104
3075,Lalor,1419.6,7098,-37.662922,145.003955
3076,Epping,3051.4,15257,-37.639111,145.0266224
3078,"Alphington, Fairfield",686.0,3430,-37.78245143969897,145.02335095909925
3079,"Ivanhoe, Ivanhoe East",770.6,3853,-37.771211119396774,145.0524309243859
3081,"Bellfield, Heidelberg Heights, Heidelberg West",1741.8,8709,-37.74551105180832,145.04493018218352
3082,Mill Park,1900.0,9500,-37.6641334,145.0642681
3083,"Bundoora, Kingsbury",2030.6,10153,-37.70690851393961,145.04761930910445
3084,"Eaglemont, Heidelberg, Rosanna, Viewbank",2182.6,10913,-37.74929249677229,145.07408295518698
3085,"Macleod, Yallambie",781.6,3908,-37.72280354273637,145.08167452213493
3087,"Watsonia, Watsonia North",549.6,2748,-37.70291540307272,145.08412402905566
3088,"Briar Hill, Greensborough, St Helena",1690.0,8450,-37.69824408881982,145.11954224989324
3089,Diamond Creek,544.8,2724,-37.6760643,145.1524368
3090,Plenty,92.0,460,-37.6674499,145.1123773
3091,Yarrambat,51.0,255,-37.6375473,145.1349293
3093,Lower Plenty,142.0,710,-37.7388437,145.116224
3094,Montmorency,273.0,1365,-37.7189715,145.1256231
3095,"Eltham, Eltham North, Research",1165.4,5827,-37.70735299982483,145.1636659755431
3096,Wattle Glen,46.6,233,-37.6699452,145.1916231
3097,"Bend of Islands, Kangaroo Ground, Watsons Creek",29.6,148,-37.690031495465185,145.25247434440305
3099,"Hurstbridge, Cottles Bridge, Nutfield, Strathewen",186.8,934,-37.60450388460602,145.21600050718772
3101,Kew,1313.4,6567,-37.8033586,145.0333285
3102,Kew East,188.0,940,-37.7904215,145.0527906
3103,"Balwyn, Deepdene",505.6,2528,-36.995113122164035,129.72211247161746
3104,Balwyn North,537.4,2687,-37.7919518,145.0842372
3105,Bulleen,387.4,1937,-37.7688992,145.0871992
3106,Templestowe,427.6,2138,-37.7540588,145.1486152
3107,Templestowe Lower,376.6,1883,-37.7638749,145.1122762
3108,Doncaster,1473.6,7368,-37.7848299,145.1238431
3109,Doncaster East,800.6,4003,-37.7788744,145.1638815
3111,Donvale,276.2,1381,-37.7898094,145.1914915
3113,"Warrandyte, North Warrandyte",189.6,948,-37.7422254541481,145.22158590853556
3114,"Park Orchards, Park Orchards",88.4,442,-37.7769195,145.2146209
3115,Wonga Park,89.2,446,-37.7356804,145.269802
3116,Chirnside Park,582.2,2911,-37.7385835,145.3143181
3121,"Burnley, Cremorne, Richmond",4219.8,21099,-37.82634423829363,145.00427262947485
3122,Hawthorn,1496.0,7480,-37.8244246,145.0317207
3123,Hawthorn East,486.2,2431,-37.8313785,145.0499797
3124,Camberwell,1084.4,5422,-37.8384623,145.0740767
3125,Burwood,799.4,3997,-37.849578,145.1113915
3126,Canterbury,220.8,1104,-37.8243448,145.0757933
3127,"Mont Albert, Mont Albert North, Surrey Hills",569.0,2845,-37.81601719391718,145.10537643863447
3128,"Box Hill, Box Hill South",1658.8,8294,-37.82906760806397,145.1247456914319
3129,Box Hill North,374.6,1873,-37.8056831,145.1295748
3130,"Blackburn, Blackburn North, Blackburn South",1039.8,5199,-37.82197108876743,145.151795352652
3131,"Nunawading, Forest Hill",1189.4,5947,-37.826824758493736,145.1728114263162
3132,Mitcham,771.8,3859,-35.0054713,138.626811600587
3133,"Vermont, Vermont, Vermont South",677.2,3386,-37.84376985844114,145.19550078713465
3134,"Ringwood North, Warrandyte South, Ringwood, Warranwood",3260.6,16303,-37.78450612706816,145.23804823297087
3135,"Heathmont, Ringwood East",892.0,4460,-37.82181078100859,145.24863541779317
3136,"Croydon, Croydon Hills, Croydon North, Croydon South",2117.0,10585,-37.78950744973119,145.27728008550173
3137,"Kilsyth, Kilsyth South, Kilsyth",737.4,3687,-37.81302473892969,145.31264000515182
3138,Mooroolbark,1044.2,5221,-37.7813447,145.3256732
3139,"Beenak, Don Valley, Hoddles Creek, Launching Place, Seville, Seville East, Wandin East, Wandin North, Woori Yallock, Yellingbo",433.8,2169,-37.78725981710634,145.51131646762872
3140,Lilydale,1425.2,7126,-37.7576639,145.352405
3141,South Yarra,2082.2,10411,-37.8377695,144.9918537
3142,Toorak,799.2,3996,-37.8416141,145.0176215
3143,Armadale,437.2,2186,-37.8567619,145.0206905
3144,"Kooyong, Malvern",864.4,4322,-37.84950140063259,145.0354534425307
3145,"Caulfield East, Malvern East",1680.6,8403,-37.879056098356386,145.0539796585892
3146,Glen Iris,730.6,3653,-37.855814,145.0646117
3147,"Ashburton, Ashwood",806.0,4030,-37.86701559243092,145.0914435502452
3148,Chadstone,978.2,4891,-37.8822799,145.1001365
3149,Mount Waverley,1187.6,5938,-37.8802,145.150296674883
3150,"Glen Waverley, Wheelers Hill",2075.2,10376,-37.89597653127979,145.17884857046633
3151,Burwood East,407.8,2039,-37.8535935,145.150423
3152,"Wantirna, Wantirna South",2148.0,10740,-37.863062968867304,145.2238601074613
3153,"Bayswater, Bayswater North",1858.0,9290,-37.83620987825555,145.2742268841291
3154,The Basin,160.4,802,-37.8556937,145.3214075
3155,Boronia,1640.4,8202,-37.8563043,145.2859658
3156,"Lysterfield South, Ferntree Gully, Lysterfield, Upper Ferntree Gully",1901.0,9505,-37.9170285491599,145.29007556521393
3158,Upwey,281.2,1406,-37.9052161,145.3279903
3159,"Menzies Creek, Selby",67.2,336,-37.918913553723115,145.39261502066205
3160,"Belgrave, Belgrave Heights, Belgrave South, Tecoma",485.2,2426,-37.920774827581624,145.35205773048867
3161,Caulfield North,592.6,2963,-37.870828,145.0218005
3162,"Caulfield, Caulfield South",860.4,4302,-37.88938160218563,145.0256512019153
3163,"Carnegie, Glen Huntly, Murrumbeena",1298.6,6493,-37.89420636002633,145.05588743880585
3165,Bentleigh East,825.4,4127,-37.9220201,145.0665529
3166,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East",1638.0,8190,-37.90294644491933,145.10016108515214
3167,Oakleigh South,438.6,2193,-37.9248257,145.0921745
3168,"Clayton, Notting Hill",1655.2,8276,-37.911451842341165,145.13799350385545
3169,"Clarinda, Clayton South",887.4,4437,-37.94310124061093,145.11562830110478
3170,Mulgrave,1427.4,7137,-37.9319869,145.18179881096
3171,Springvale,1936.8,9684,-37.9456253,145.1580111
3172,"Springvale South, Dingley Village",906.6,4533,-37.97321917252,145.136758856838
3173,Keysborough,1329.0,6645,-38.0053607,145.1674069
3174,"Noble Park, Noble Park North",2829.4,14147,-37.96040411139007,145.18377122896544
3175,"Dandenong, Dandenong North, Dandenong South, Bangholme",9649.4,48247,-38.00492845704891,145.205537069914
3177,"Doveton, Eumemmerring",1258.0,6290,-37.993640823831086,145.24277332179744
3178,Rowville,1466.0,7330,-37.9239267,145.2447672
3179,Scoresby,405.2,2026,-37.9025786,145.2183066
3180,Knoxfield,412.0,2060,-37.8897731,145.2496342
3181,"Prahran, Windsor",3301.6,16508,-37.85321817516995,144.9963829746125
3182,"St Kilda, St Kilda West",4668.6,23343,-37.86091106415945,144.9764408944893
3183,"St Kilda East, Balaclava",1087.4,5437,-37.86855810827347,144.99845363747224
3184,Elwood,930.0,4650,-37.8788568,144.9855487
3185,"Gardenvale, Elsternwick, Gardenvale, Ripponlea",799.6,3998,-37.889969916144004,145.00516384499204
3186,Brighton,1212.6,6063,-37.9081962,144.9957991
3187,Brighton East,487.0,2435,-37.9171728,145.0163663
3188,"Hampton, Hampton East",934.8,4674,-32.69674638968629,148.75902467520024
3189,Moorabbin,1161.8,5809,-37.9414646,145.0578383
3190,Highett,791.4,3957,-37.9504036,145.039797
3191,Sandringham,567.0,2835,-37.9533347,145.0139308
3192,Cheltenham,1833.6,9168,-37.9634181,145.0615668
3193,"Beaumaris, Black Rock",497.6,2488,-35.401986059256444,141.82212495601232
3194,"Mentone, Moorabbin Airport",818.0,4090,-37.97941533950679,145.08424080677602
3195,"Aspendale, Aspendale Gardens, Braeside, Mordialloc, Parkdale, Waterways",1994.0,9970,-38.00843170432825,145.10884634422203
3196,"Bonbeach, Chelsea, Chelsea Heights, Edithvale",1309.4,6547,-38.047800515684436,145.12452400210333
3197,"Carrum, Patterson Lakes",780.6,3903,-38.07308809543837,145.13562172864323
3198,Seaford,1842.6,9213,-38.1048309,145.1384475
3199,"Frankston, Frankston South",8345.6,41728,-38.16048780763131,145.12822215531614
3200,Frankston North,828.6,4143,-38.1228524,145.1609788
3201,Carrum Downs,1553.2,7766,-38.0927904,145.1758001
3202,Heatherton,131.2,656,-37.9560844,145.0932067
3204,"Bentleigh, McKinnon, Ormond",1195.2,5976,-37.91103298198308,145.0409485042196
3205,South Melbourne,2199.4,10997,-37.8334603,144.9570188
3206,"Albert Park, Middle Park",748.2,3741,-37.849248220555516,144.9661250125602
3207,Port Melbourne,1823.6,9118,-37.8333613,144.9219203
3211,Little River,93.0,465,-37.9639273,144.5009868
3335,"Bonnie Brook, Grangefields, Plumpton, Rockbank, Thornhill Park",487.2,2436,-37.70634285461511,144.65955366291956
3337,"Harkness, Kurunjang, Melton, Melton West, Toolern Vale",4064.4,20322,-37.65710554595593,144.5729326596028
3338,"Brookfield, Cobblebank, Exford, Eynesbury, Melton South, Strathtulloh, Weir Views",1452.4,7262,-37.72803138759571,144.56891255675123
3340,"Parwan, Quandong",1319.8,6599,-28.110766547322346,132.2682218498926
3427,Diggers Rest,184.2,921,-37.61394,144.682186438156
3428,Bulla,67.6,338,-37.6347957,144.8027227
3429,"Sunbury, Wildwood",2319.4,11597,-37.55517350097374,144.75628178586007
3430,Clarkefield,20.0,100,-37.465415,144.76960275978
3723,Matlock,134.0,670,-37.598542,146.2077112
3750,Wollert,314.4,1572,-37.5939889,145.0337333
3752,South Morang,1234.4,6172,-37.6316767,145.0836353
3753,Beveridge,116.6,583,-37.4712651,144.9745663
3754,"Doreen, Mernda",1556.6,7783,-37.59425246595735,145.11242362428058
3755,"Yan Yean, Woodstock",18.0,90,-30.240734222851803,130.97310247243433
3757,"Eden Park, Humevale, Whittlesea",424.0,2120,-37.502344580541006,145.1254793052136
3759,Panton Hill,25.6,128,-37.6413636,145.2390413
3760,Smiths Gully,4.4,22,-37.6040513,145.2677187
3761,St Andrews,25.4,127,-37.57944,145.28584035
3763,Kinglake,72.4,362,-37.5327424,145.341131
3765,Montrose,249.6,1248,-37.81068,145.350850076404
3766,Kalorama,22.6,113,-35.4570151,149.09488114221
3767,Mount Dandenong,43.2,216,-37.8291766,145.3538837
3770,"Coldstream, Gruyere, Yering",105.6,528,-37.70708236024074,145.40235247558155
3775,"Christmas Hills, Dixons Creek, Steels Creek, Tarrawarra, Yarra Glen",110.8,554,-37.63760377210385,145.38036144478184
3777,"Toolangi, Badger Creek, Chum Creek, Healesville, Mount Toolebewong",390.0,1950,-32.58383111807169,149.38458839212626
3778,"Kinglake West, Fernshaw",17.2,86,-37.55817,145.8874417
3779,Cambarville,22.8,114,-37.700772307319994,135.70100121936542
3781,"Cockatoo, Mount Burnett, Nangana",196.6,983,-37.915267012992786,145.4596295063029
3782,"Emerald, Avonsleigh, Clematis, Macclesfield",317.8,1589,-37.9527594,145.550276
3783,Gembrook,92.4,462,-37.8788598,145.3157699
3785,Tremont,10.0,50,-37.8896872,145.2915223
3786,Ferny Creek,40.0,200,-37.8678412,145.3568039
3787,"Sassafras, Sassafras",24.4,122,-37.843742,145.3855733
3788,Olinda,81.4,407,-37.8884448,145.3593565
3789,Sherbrooke,7.4,37,-37.8858076,145.3729123
3791,Kallista,32.8,164,-37.8901143,145.3912949
3792,The Patch,44.4,222,-37.8741771,145.4286024
3793,Monbulk,151.0,755,-37.8291,145.437765047924
3795,Silvan,36.0,180,-25.50419,121.7492
3796,Mount Evelyn,294.0,1470,-37.84000063623869,145.68223814538075
3797,"Gilderoy, Gladysdale, Powelltown, Three Bridges, Yarra Junction",166.2,831,-37.24447940328887,145.9981123447547
3799,"Big Pats Creek, McMahons Creek, Millgrove, Reefton, Warburton, Warburton East, Wesburn",232.0,1160,-37.9702665,145.2563443
3802,Endeavour Hills,1298.8,6494,-38.0074845,145.268858
3803,Hallam,940.8,4704,-37.97216133221212,145.3354799762045
3804,"Narre Warren North, Narre Warren East",275.0,1375,-38.03617300950852,145.30435007269784
3805,"Narre Warren, Narre Warren South",3888.4,19442,-38.01649266761978,145.35214678234294
3806,"Berwick, Harkaway",2083.4,10417,-35.95635999699371,130.028176090192
3807,"Beaconsfield, Guys Hill",362.4,1812,-37.998735,145.425214664948
3808,Beaconsfield Upper,90.8,454,-38.024896980109865,145.43255904488396
3809,"Officer, Dewhurst, Officer South",375.8,1879,-38.08746764703095,145.4839155141173
3810,"Pakenham, Pakenham South, Pakenham Upper, Rythdale",3742.0,18710,-38.058397764028335,145.58010139195358
3812,"Maryknoll, Nar Nar Goon, Nar Nar Goon North",74.8,374,-38.06217577583628,145.6383107317831
3813,"Tynong, Tynong North",32.6,163,-37.996833181865576,145.48434772940962
3814,"Cora Lynn, Garfield, Garfield North, Vervale",114.8,574,-38.09670694421009,145.71411513820973
3815,"Bunyip, Bunyip North, Iona, Tonimbuk",113.8,569,-38.10973856809125,145.74303772058087
3816,"Longwarry, Modella",182.6,913,-37.8481285,146.0499962
3833,Toorongo,50.8,254,-38.1545829,145.1973931
3891,Koo Wee Rup North,6.8,34,-38.19505639042302,145.17396214801127
3910,Langwarrin,974.4,4872,-38.21349767968574,145.20793920813446
3911,"Langwarrin South, Baxter",225.2,1126,-38.2637008,145.1871641
3912,"Pearcedale, Somerville",744.2,3721,-38.30254689496352,145.14070984711626
3913,Tyabb,208.0,1040,-38.414546390370475,145.07647918381542
3915,"Hastings, Tuerong",1344.8,6724,-38.3375798,145.1773289
3916,"Merricks, Point Leo, Shoreham",32.6,163,-38.3523582,145.2029503
3918,Bittern,136.0,680,-38.382085,145.194820337715
3919,Crib Point,189.8,949,-38.3723791869118,145.10413926669696
3920,HMAS Cerberus,10.4,52,-38.3923474,145.1726499
3926,"Balnarring, Balnarring Beach, Merricks Beach, Merricks North",90.0,450,-38.40234,144.965533868726
3927,Somers,47.2,236,-33.9987477,122.2476947
3928,Main Ridge,11.2,56,-38.19381,145.095732088415
3929,Flinders,56.2,281,-38.22801,145.061291145833
3930,Mount Eliza,528.8,2644,-38.245685,145.11613426233
3931,Mornington,1938.4,9692,-38.2754676,145.0307737
3933,Moorooduc,86.6,433,-38.33932226018134,144.9752033071149
3934,Mount Martha,434.8,2174,-38.39316495813608,145.02781041334455
3936,"Dromana, Safety Beach, Arthurs Seat",616.8,3084,-38.3599791,144.9338501
3937,"Red Hill, Red Hill South",58.2,291,-38.42393594810123,144.89063550570532
3938,McCrae,114.4,572,-38.3737241,144.8755654
3939,"Rosebud, Boneo, Cape Schanck, Fingal",1475.0,7375,-38.393292284101555,144.83044037765956
3940,Capel Sound,330.2,1651,-38.3687445,144.7722682
3941,"Rye, St Andrews Beach, Tootgarook",988.2,4941,-38.3447273,144.7420938
3942,Blairgowrie,112.0,560,-38.3228212,144.7004208
3943,Sorrento,222.2,1111,-38.062201831261575,145.24343214834508
3944,Portsea,64.8,324,-38.0367368,145.2590312
3975,"Lynbrook, Lyndhurst",627.8,3139,-38.13530078088161,145.28269203654
3976,Hampton Park,1269.0,6345,-38.12328208701854,145.36015730300088
3977,"Tooradin North, Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Junction Village, Cannons Creek, Devon Meadows, Sandhurst, Skye",5420.2,27101,-38.21647776782568,145.3437268493053
3978,"Cardinia, Clyde, Clyde North",339.0,1695,-37.94734656637778,139.60154776301056
3980,"Blind Bight, Tooradin, Warneet",155.8,779,-38.09845158270318,145.47341142303893
3981,"Bayles, Catani, Dalmore, Heath Hill, Koo Wee Rup",237.8,1189,-38.3347289,145.6708903
