PostalCode,MeanCrimes,SumCrimes,SuburbName,Latitude,Longitude,DistCityCenter
3936,616.8,3084,Dromana,-38.359979100000004,144.9338501,59.35601792481944
3936,616.8,3084,Safety Beach,-38.4199773,144.83117,67.16468175791104
3936,616.8,3084,Arthurs Seat,-38.35716,145.12594484191,60.27778248728219
3975,627.8,3139,Lynbrook,-38.0558639,145.2561128,35.10043390453725
3975,627.8,3139,Lyndhurst,-30.288044,138.3487822,1036.9177416895222
3041,639.0,3195,Essendon Fields,-37.73847620000001,144.90120269999997,12.082216976155449
3041,639.0,3195,Essendon North,-37.75464,144.883441718625,11.730200489866993
3041,639.0,3195,Strathmore,-37.7133663,144.8969057,14.646143537193828
3041,639.0,3195,Strathmore Heights,-37.780755299999996,144.935503,6.503304125240192
3026,648.2,3241,Laverton North,-37.8686285,144.59501269999998,34.1076985263088
3033,674.4,3372,Keilor East,-37.7383776,144.8561207,14.72089695026324
3133,677.2,3386,Vermont,-37.8384616,145.19934709999998,19.3195724631302
3133,677.2,3386,Vermont,-37.854386,145.1878065,18.507827408943267
3133,677.2,3386,Vermont South,-37.639111,145.0266224,21.360149900806718
3078,686.0,3430,Alphington,-37.780399200000005,145.0308824,6.90079582597212
3078,686.0,3430,Fairfield,-37.7845032,145.0158191,5.737630757655581
3055,708.2,3541,Brunswick West,-37.744975200000006,144.9643314,9.286227555285993
3057,725.4,3627,Brunswick East,-37.7633334,144.9425563,7.859860328314877
3146,730.6,3653,Glen Iris,-37.855814,145.06461169999997,8.080731688835469
3137,737.4,3687,Kilsyth,-37.8037844,145.3134593,29.4317579160908
3137,737.4,3687,Kilsyth South,-37.8315054,145.31100080000002,29.094559858715854
3137,737.4,3687,Kilsyth,-37.7576639,145.352405,33.65518310449569
3912,744.2,3721,Pearcedale,-38.2015815,145.242198,47.53052646627598
3912,744.2,3721,Somerville,-38.263700799999995,145.1871641,51.79773496763506
3206,748.2,3741,Albert Park,-37.8702943,144.9947414,4.92986981143328
3206,748.2,3741,Middle Park,-37.877797799999996,144.99527780000003,5.7497470152241625
3079,770.6,3853,Ivanhoe,-34.259202,118.8425669,2375.8932765539707
3079,770.6,3853,Ivanhoe East,-37.7733903,145.0617815,9.388215653509883
3132,771.8,3859,Mitcham,-37.8384616,145.19934709999998,19.3195724631302
3197,780.6,3903,Carrum,-38.083045,145.180350343773,33.416977533660976
3197,780.6,3903,Patterson Lakes,-38.069449299999995,145.14323290000002,30.48271493778736
3085,781.6,3908,Macleod,-23.72083,113.6817,3354.7825010915953
3085,781.6,3908,Yallambie,-37.7251655,145.09352180000002,15.151179197713597
3190,791.4,3957,Highett,-37.9504036,145.039797,14.641688031018582
3142,799.2,3996,Toorak,-37.854522700000004,144.9921665,3.1881129065446614
3125,799.4,3997,Burwood,-37.8822799,145.1001365,12.191087636859582
3185,799.6,3998,Gardenvale,-37.8981194,145.00918240000001,8.25993098284325
