Postcode,SuburbName
3042,Niddrie
3041,Strathmore
3041,Strathmore Heights
3032,Travancore
3056,Brunswick
3057,Brunswick East
3055,Brunswick West
3058,Coburg
3058,Coburg North
3060,Fawkner
3046,Glenroy
3043,Gowanbrae
3046,Hadfield
3046,Oak Park
3044,Pascoe Vale
3044,Pascoe Vale South
3942,Blairgowrie
3940,Capel Sound
3936,Dromana
3938,McCrae
3931,Mornington
3930,Mount Eliza
3934,Mount Martha
3944,Portsea
3939,Rosebud
3941,Rye
3936,Safety Beach
3941,St Andrews Beach
3943,Sorrento
3941,Tootgarook
3918,Bittern
3919,Crib Point
3915,Hastings
3912,Somerville
3913,Tyabb
3936,Arthurs Seat
3926,Balnarring
3926,Balnarring Beach
3911,Baxter
3939,Boneo
3939,Cape Schanck
3939,Fingal
3929,Flinders
3920,HMAS Cerberus
3928,Main Ridge
3916,Merricks
3926,Merricks Beach
3926,Merricks North
3933,Moorooduc
3916,Point Leo
3937,Red Hill
3937,Red Hill South
3916,Shoreham
3927,Somers
3915,Tuerong
3089,Diamond Creek
3099,Hurstbridge
3113,North Warrandyte
3095,Research
3096,Wattle Glen
3097,Bend of Islands
3775,Christmas Hills
3099,Cottles Bridge
3754,Doreen
3097,Kangaroo Ground
3763,Kinglake
3778,Kinglake West
3099,Nutfield
3759,Panton Hill
3090,Plenty
3761,St Andrews
3760,Smiths Gully
3099,Strathewen
3777,Toolangi
3097,Watsons Creek
3755,Yan Yean
3091,Yarrambat
3206,Albert Park
3183,Balaclava
3184,Elwood
3206,Middle Park
3185,Ripponlea
3182,St Kilda
3182,St Kilda West
3205,South Melbourne
3143,Armadale
3144,Kooyong
3144,Malvern
3145,Malvern East
3181,Prahran
3142,Toorak
3181,Windsor
3130,Blackburn
3130,Blackburn North
3130,Blackburn South
3128,Box Hill
3129,Box Hill North
3128,Box Hill South
3151,Burwood East
3131,Forest Hill
3132,Mitcham
3133,Vermont
3133,Vermont South
3076,Epping
3075,Lalor
3754,Mernda
3082,Mill Park
3752,South Morang
3074,Thomastown
3753,Beveridge
3757,Eden Park
3757,Humevale
3757,Whittlesea
3750,Wollert
3755,Woodstock
3029,Hoppers Crossing
3026,Laverton North
3024,Manor Lakes
3030,Point Cook
3029,Tarneit
3030,Werribee
3030,Werribee South
3027,Williams Landing
3024,Wyndham Vale
3030,Cocoroc
3211,Little River
3024,Mambourin
3340,Quandong
3067,Abbotsford
3121,Burnley
3068,Clifton Hill
3066,Collingwood
3121,Cremorne
3065,Fitzroy
3068,Fitzroy North
3054,Princes Hill
3121,Richmond
3160,Belgrave
3160,Belgrave Heights
3160,Belgrave South
3116,Chirnside Park
3137,Kilsyth
3140,Lilydale
3765,Montrose
3138,Mooroolbark
3796,Mount Evelyn
3159,Selby
3160,Tecoma
3158,Upwey
3777,Badger Creek
3139,Beenak
3799,Big Pats Creek
3779,Cambarville
3777,Chum Creek
3770,Coldstream
3775,Dixons Creek
3139,Don Valley
3778,Fernshaw
3786,Ferny Creek
3797,Gilderoy
3797,Gladysdale
3770,Gruyere
3777,Healesville
3139,Hoddles Creek
3791,Kallista
3766,Kalorama
3139,Launching Place
3782,Macclesfield
3799,McMahons Creek
3723,Matlock
3799,Millgrove
3793,Monbulk
3767,Mount Dandenong
3777,Mount Toolebewong
3804,Narre Warren East
3788,Olinda
3797,Powelltown
3799,Reefton
3787,Sassafras
3139,Seville
3139,Seville East
3789,Sherbrooke
3795,Silvan
3775,Steels Creek
3775,Tarrawarra
3792,The Patch
3797,Three Bridges
3833,Toorongo
3785,Tremont
3139,Wandin East
3139,Wandin North
3799,Warburton
3799,Warburton East
3799,Wesburn
3139,Woori Yallock
3775,Yarra Glen
3797,Yarra Junction
3139,Yellingbo
3770,Yering
