SuburbName,PostalCode,Latitude,Longitude,DistCityCenter
Guys Hill,3807,-38.0142333,145.3906004,41.59261789921887
Heath Hill,3981,-38.24878,145.691397522341,77.97602049432771
Iona,3815,-38.161365,145.686712776183,72.23119737057279
Koo Wee Rup,3981,-38.189865,145.470198500526,58.911076248058514
Koo Wee Rup North,3891,-38.189865,145.470198500526,58.911076248058514
Lang Lang,3984,-38.282535,145.572641377871,72.49992952230842
Lang Lang East,3894,-38.2660405,145.5627778,70.60850628245353
Longwarry,3816,-38.1111387,145.7705953,76.1721088201876
Maryknoll,3812,-38.03572,145.601936406463,59.28255870752736
Menzies Creek,3159,-37.9190646,145.4068204,38.84391589866714
Modella,3816,-38.1864393,145.7150142,75.791488964083
Monomeith,3984,-38.2206497,145.5106763,63.833750261079196
Mount Burnett,3781,-34.8941998,116.5631421,2556.163627624403
Nangana,3781,-37.8755206,145.5325074,48.82854996560073
Nar Nar Goon,3812,-38.110035,145.574791685593,60.897359521831405
Nar Nar Goon North,3812,-38.029435,145.56357211039,55.91722755594737
Nyora,3987,-38.3347289,145.6708903,82.71863392304009
Officer South,3809,-38.049175,145.41180221332,45.202914667604404
Pakenham South,3810,-38.137285,145.491226681719,56.53839249066552
Pakenham Upper,3810,-38.00863,145.507523289938,50.490793951053625
Rythdale,3810,-37.886921,145.1834032,19.055461875418846
Tonimbuk,3815,-38.03121,145.727912634901,69.42714019474508
Tooradin North,3977,-38.2138303,145.3816827,55.547626050646244
Tynong,3813,-38.094585,145.638755252879,64.9675260346721
Tynong North,3813,-38.02976655,145.637866604289,61.955235839761585
Vervale,3814,-37.7129383,144.9735871,12.760654688703188
Yannathan,3894,-38.223445,145.650533920797,73.42965080738357
Berwick,3806,-38.0403826,145.3481493,40.05261489567249
Botanic Ridge,3977,-38.1413786,145.2566183,42.50922329795731
Clyde,3978,-38.1326345,145.3290375,45.70089029611266
Clyde North,3978,-38.1028681,145.3302814,43.3810722895961
Cranbourne,3977,-38.09983825,145.282937771062,40.29291605216456
Cranbourne East,3977,-38.1080912,145.3056221,42.303208322514685
Cranbourne North,3977,-38.0775184,145.2989039,39.445337610292114
Cranbourne South,3977,-38.150625,145.246764684066,42.87945364406277
Doveton,3177,-37.9887542,145.2385975,28.931539778606638
Endeavour Hills,3802,-37.9702665,145.2563443,28.99699042184115
Eumemmerring,3177,-37.9985273,145.2469497,30.1818604109033
Hallam,3803,-38.0074845,145.268858,32.30422080546716
Hampton Park,3976,-38.0367368,145.2590312,33.780887324743524
Junction Village,3977,-38.1363443,145.2968697,44.18133798006576
Lynbrook,3975,-38.0558639,145.2561128,35.100433904537255
Narre Warren,3805,-38.017956,145.3058481,35.588890734187515
Narre Warren North,3804,-38.00196165,145.294660694286,33.75447347738068
Narre Warren South,3805,-38.04913355,145.303989760819,37.6274604803031
Blind Bight,3980,-38.2142175,145.3377629,53.2264397548625
Cannons Creek,3977,-38.2114954,145.3112899,51.64326754430847
Devon Meadows,3977,-38.1620178,145.3024933,46.72965698922475
Harkaway,3806,-38.0002695,145.3416887,37.10981627297879
Lyndhurst,3975,-30.288044,138.3487822,1036.9177416895222
Lysterfield South,3156,-37.9524844,145.2669275,28.77580007996817
Pearcedale,3912,-38.2015815,145.242198,47.53052646627598
Tooradin,3980,-38.2138303,145.3816827,55.547626050646244
Warneet,3980,-38.2213749,145.3117316,52.57585907562677
Alphington,3078,-37.7803992,145.0308824,6.900795825972119
Fairfield,3078,-37.7845032,145.0158191,5.737630757655581
